,temp_outdoor,hum_outdoor,co2_outdoor,temp_living_room,hum_living_room,co2_living_room,tvoc_living_room,pm25_living_room,pir_living_room,pres_living_room,pm10_living_room,temp_indoor,hum_indoor,co2_indoor,current_fridge,power_fridge,voltage_fridge,energy_fridge,om_cloud_cover,om_temperature,om_humidity,om_rain,om_radiation,pv_energy,pv_power,pp_energy,synergy_consumption,synergy_production,synergy_net,f_temp_indoor,f_temp_outdoor,f_solar_norm,f_grid_import_norm,f_grid_export_norm,f_hour_sin,f_hour_cos,f_t_lag_1h,f_t_lag_2h,f_t_lag_3h,f_indoor_outdoor_delta,datetime_perth,epoch
2025-01-01 00:00:00+08:00,28.060000000000002,38.03333333333333,0.0,,,,,,,,,29.863333333333333,45.13333333333333,0.0,,,,,0.0,28.5,33.0,0.0,0.0,0.0,,,0.1649999991059303,0.0,-0.1649999991059303,0.7975365665896842,0.6280640320160081,,0.03146452954319338,0.0,0.0,1.0,0.8066461380549138,0.8143443674621502,0.8206312548113933,0.16947253457367606,2025-01-01 00:00:00,1735660800
2025-01-01 01:00:00+08:00,27.296666666666667,37.300000000000004,0.0,,,,,,,,,29.64333333333333,44.73333333333333,0.0,,,,,0.0,26.7,37.0,0.0,0.0,0.0,,,0.1660000011324882,0.0,-0.1660000011324882,0.7890685142417243,0.6089711522427881,,0.031655224049122944,0.0,0.25881904510252074,0.9659258262890683,0.7975365665896842,0.8066461380549138,0.8143443674621502,0.18009736199893622,2025-01-01 01:00:00,1735664400
2025-01-01 02:00:00+08:00,26.433333333333334,38.36666666666667,0.0,,,,,,,,,29.409999999999997,44.333333333333336,0.0,,,,,19.0,25.9,39.0,0.0,0.0,0.0,,,0.1680000051856041,0.0,-0.1680000051856041,0.7800872465999485,0.5873770218442556,,0.03203661306098209,0.0,0.49999999999999994,0.8660254037844387,0.7890685142417243,0.7975365665896842,0.8066461380549138,0.192710224755693,2025-01-01 02:00:00,1735668000
2025-01-01 03:00:00+08:00,25.616666666666664,39.96666666666667,0.0,,,,,,,,,29.16,43.666666666666664,0.0,,,,,10.0,25.2,40.0,0.0,0.0,0.0,,,0.1510000005364418,0.0,-0.1510000005364418,0.7704644598409031,0.5669501417375354,,0.02879481214330702,0.0,0.7071067811865475,0.7071067811865476,0.7800872465999485,0.7890685142417243,0.7975365665896842,0.20351431810336762,2025-01-01 03:00:00,1735671600
2025-01-01 04:00:00+08:00,24.853333333333335,42.666666666666664,0.0,,,,,,,,,28.896666666666665,43.53333333333333,0.0,,,,,60.0,24.2,42.0,0.0,0.0,0.0,,,0.3499999865889549,0.0,-0.3499999865889549,0.7603284577880418,0.5478572619643156,,0.06674293925950484,0.0,0.8660254037844386,0.5000000000000001,0.7704644598409031,0.7800872465999485,0.7890685142417243,0.2124711958237262,2025-01-01 04:00:00,1735675200
2025-01-01 05:00:00+08:00,24.13,46.43333333333334,0.0,,,,,,,,,28.636666666666667,43.5,0.0,,,,,87.0,23.7,44.0,0.0,0.0,0.041266666666666396,49.52,,1.550000011920929,0.0,-1.550000011920929,0.7503207595586346,0.5297648824412207,0.010919486124102455,0.29557588746243396,0.0,0.9659258262890683,0.25881904510252074,0.7603284577880418,0.7704644598409031,0.7800872465999485,0.22055587711741398,2025-01-01 05:00:00,1735678800
2025-01-01 06:00:00+08:00,23.763333333333335,51.6,0.0,,,,,,,,,28.396666666666665,43.63333333333333,0.0,,,,,73.0,24.0,45.0,0.0,15.8,0.3590738888888883,359.07388888888886,,0.5260000228881836,0.098499996587634,-0.4275000263005496,0.7410828842699511,0.5205936301484076,0.0791781572546391,0.10030511120948732,0.05024228334190484,1.0,6.123233995736766e-17,0.7503207595586346,0.7603284577880418,0.7704644598409031,0.2204892541215434,2025-01-01 06:00:00,1735682400
2025-01-01 07:00:00+08:00,24.80666666666667,51.0,0.0,,,,,,,,,28.213333333333335,43.93333333333334,0.0,,,,,75.0,25.1,43.0,0.0,131.0,1.0465777777777774,1046.5777777777778,,0.0,0.478999987244606,0.478999987244606,0.7340261739799845,0.546690011672503,0.2307772924523107,0.0,0.24432542044304625,0.9659258262890683,-0.25881904510252063,0.7410828842699511,0.7503207595586346,0.7603284577880418,0.1873361623074815,2025-01-01 07:00:00,1735686000
2025-01-01 08:00:00+08:00,26.69333333333333,47.199999999999996,0.0,,,,,,,,,28.14,44.199999999999996,0.0,,,,,66.0,27.5,39.0,0.0,335.0,2.0957274999999993,2095.7275,,0.0,0.9399999976158142,0.9399999976158142,0.731203489863998,0.5938802734700684,0.46212171559268833,0.0,0.47946952139826504,0.8660254037844387,-0.49999999999999983,0.7340261739799845,0.7410828842699511,0.7503207595586346,0.13732321639392953,2025-01-01 08:00:00,1735689600
2025-01-01 09:00:00+08:00,29.403333333333336,43.4,0.0,,,,,,,,,28.243333333333336,44.699999999999996,0.0,,,,,70.0,28.2,38.0,0.0,557.9,2.967054444444444,2967.0544444444445,,0.0,1.2239999771118164,1.2239999771118164,0.73518090839107,0.6616641654160414,0.6542550451447421,0.0,0.6243305156444786,0.7071067811865476,-0.7071067811865475,0.731203489863998,0.7340261739799845,0.7410828842699511,0.07351674297502853,2025-01-01 09:00:00,1735693200
